Region,ANC_4plus_visits,ANC_first_before_4mo,ANC_BP_measured,ANC_urine_taken,Facility_delivery,Skilled_provider_delivery,Height_below_145cm,Any_anaemia,No_education,Improved_water,Improved_sanitation,Lowest_wealth_quintile
Central,88.8,64.7,96.4,98.7,82.5,84.0,0.2,44.4,19.8,91.8,72.0,9.1
Greater Accra,87.3,60.7,94.3,94.2,91.3,92.3,0.2,38.8,10.0,98.5,91.4,2.4
Eastern,91.0,64.8,97.9,99.6,89.2,90.1,0.7,37.5,15.7,88.7,74.7,8.2
Ashanti,90.7,66.1,96.8,99.4,91.3,92.8,0.3,37.5,16.1,96.8,84.7,8.7
Upper West,95.0,71.7,98.9,98.6,92.8,91.7,0.0,46.3,43.4,97.9,26.9,52.0
Upper East,95.8,71.5,98.8,97.2,97.7,98.3,1.0,47.0,36.4,96.8,30.0,57.0
Western,91.6,68.6,95.0,96.2,84.1,85.4,0.5,45.9,17.7,94.3,72.6,9.0
Western North,86.2,66.5,96.9,98.3,87.9,89.4,0.9,36.3,20.9,83.4,51.7,20.3
Volta,94.2,71.2,99.4,99.4,90.5,93.8,1.0,43.0,17.2,88.4,67.7,13.9
Oti,77.1,64.1,97.4,97.5,66.8,69.5,0.2,51.8,35.1,66.9,48.7,30.2
Ahafo,91.3,65.1,98.6,98.3,93.1,93.9,0.4,35.6,23.9,83.3,54.2,38.5
Bono,91.8,66.5,98.2,98.7,89.7,91.2,0.5,30.1,21.1,92.2,71.3,14.0
Bono East,86.8,66.7,99.4,99.2,84.2,85.2,0.5,40.3,32.7,86.4,57.2,35.5
Northern,81.2,50.2,92.0,91.8,69.0,70.9,0.6,48.4,51.2,72.0,29.9,43.6
Savannah,73.9,57.0,93.5,94.1,71.0,73.1,0.8,43.2,56.7,61.9,26.5,55.2
North East,79.8,61.1,94.6,91.6,82.6,83.4,0.3,45.0,53.8,59.3,21.9,64.1
